5	556	2492561585	0	0
1	2422	2492562066	0	1
5	5548	2492563317	0	0
0	2536	2492563851	1	0
3	5021	2492565477	1	0
6	1800	2492566650	0	0
2	1170	2492569049	0	1
3	9314	2492569512	0	0
4	3677	2492570091	0	1
1	2448	2492571218	0	1
3	1160	2492573089	0	1
0	9415	2492574288	1	1
2	9945	2492574816	0	1
3	3784	2492575460	1	0
4	2539	2492576875	1	0
5	3670	2492578611	0	1
2	6794	2492579806	0	0
1	9921	2492581080	0	1
7	4296	2492581572	0	0
0	4414	2492582028	1	1
3	6801	2492582502	0	0
1	8156	2492583191	1	1
1	49	2492583889	1	0
0	2425	2492587402	0	1
1	4918	2492587860	0	1
6	9304	2492588544	0	0
3	3679	2492589795	0	1
1	6805	2492591062	0	0
1	1296	2492592786	1	0
3	6799	2492593958	0	0
2	5547	2492594845	0	0
2	1908	2492596058	1	1
4	8064	2492596783	0	0
6	3046	2492597307	0	0
3	4314	2492598756	0	0
6	5559	2492600125	0	0
5	6794	2492600950	0	0
3	8664	2492601767	0	1
0	3036	2492603467	0	0
3	8048	2492603943	0	0
5	1146	2492604401	0	1
1	3056	2492605907	0	0
3	8673	2492607975	0	1
0	6924	2492612046	1	1
5	6294	2492612598	1	0
3	9940	2492613608	0	1
2	5549	2492614941	0	0
3	1291	2492616482	1	0
3	1906	2492616994	1	1
0	2417	2492617674	0	1
2	6297	2492618270	1	0
4	2415	2492619562	0	1
0	6913	2492620430	1	1
5	6798	2492620854	0	0
0	7542	2492621903	1	0
4	6288	2492622766	1	0
1	4917	2492623828	0	1
5	9291	2492625272	0	0
6	6908	2492627518	1	1
4	1802	2492628138	0	0
7	1792	2492628802	0	0
6	1797	2492629754	0	0
2	1170	2492631769	0	1
0	1912	2492632202	1	1
7	644	2492633025	1	1
4	6180	2492633837	0	1
2	5541	2492636637	0	0
4	5655	2492639021	1	1
3	6796	2492640486	0	0
4	6915	2492641006	1	1
5	4923	2492641780	0	1
1	3685	2492642707	0	1
1	2424	2492643922	0	1
2	6789	2492644382	0	0
2	4298	2492644828	0	0
6	1170	2492647737	0	1
5	4928	2492648244	0	1
2	2421	2492648666	0	1
6	1286	2492649850	1	0
1	9917	2492650776	0	1
0	2518	2492651595	1	0
1	3041	2492653075	0	0
5	4295	2492653748	0	0
3	685	2492654241	1	1
0	9305	2492654736	0	0
2	3818	2492655324	1	0
5	558	2492656561	0	0
3	4921	2492657380	0	1
4	2530	2492657899	1	0
2	1800	2492658394	0	0
5	2425	2492660018	0	1
4	7545	2492661039	1	0
6	4292	2492661500	0	0
0	3058	2492662475	0	0
