770	2	0
1420	12	2
2150	6	0
5707	11	3
7346	18	0
8361	9	3
11492	4	2
15869	29	2
20266	10	2
23734	22	0
28389	5	3
31958	22	1
33219	3	2
35279	15	2
35810	2	2
36615	7	2
37045	21	2
37600	0	2
39526	6	1
40013	13	0
42919	7	3
48233	9	0
52384	0	2
53645	13	0
54755	3	3
57820	28	0
58378	10	2
61645	13	3
64152	24	3
65028	4	0
66303	31	3
67924	20	3
69792	0	2
89802	10	2
91386	26	3
94212	4	0
95195	27	3
96761	25	0
100278	22	3
100753	17	3
110428	28	1
111769	25	0
113525	21	2
114435	3	3
116742	6	0
117757	29	1
118227	19	3
121259	11	2
126558	30	0
127197	29	0
128973	13	0
130871	23	0
134336	0	1
135112	8	3
138219	11	1
139144	8	2
140365	13	3
142676	20	3
149879	23	2
151028	20	3
152223	31	0
159475	19	3
161377	1	0
162172	28	0
163216	16	3
164332	12	3
166280	8	3
166893	13	3
173920	0	1
174341	5	0
178110	30	3
182031	15	1
189775	15	2
191066	26	0
192247	23	1
196811	11	0
197423	15	1
198756	4	3
201659	27	0
202231	23	3
203813	5	1
204374	22	0
207637	21	0
213226	10	1
230325	21	1
231914	10	2
233295	15	2
235105	1	2
236017	17	0
236661	21	0
238869	21	2
250769	17	1
251646	30	1
252748	12	1
256764	28	2
258728	8	0
259938	2	3
262607	15	3
268102	6	3
269408	0	3
273121	1	0
274251	11	3
275640	24	2
280179	19	2
282399	31	3
283126	22	1
284131	3	1
286183	7	1
292194	2	2
294996	20	1
296849	17	3
300667	27	1
301945	25	3
304144	16	3
305020	28	2
308058	26	3
314164	20	1
315449	25	1
316861	29	2
317750	22	1
318616	24	0
319887	15	0
323552	0	3
324046	14	1
327371	11	1
328340	20	1
332615	7	3
333236	20	2
333748	20	2
334210	2	2
337026	2	0
340130	2	2
341642	10	3
343084	12	3
346220	12	1
346971	27	3
350509	13	1
351028	20	0
352410	26	2
354886	6	3
356532	20	1
360360	8	3
361403	27	1
362298	26	2
368972	12	3
369727	31	3
370600	8	1
371579	27	1
374362	26	3
374783	31	2
379362	2	1
388035	3	1
392606	30	0
394245	5	2
396348	28	1
396993	1	0
399207	7	2
400293	5	1
403655	7	1
405166	14	1
406259	19	3
407368	8	3
412145	17	3
415175	7	2
416056	24	3
418631	7	1
419675	27	2
423088	16	0
424541	29	0
428899	3	3
430755	3	3
433993	9	2
435940	4	3
436429	13	3
438526	30	0
439992	24	0
441775	15	2
445080	24	1
445709	13	0
447567	15	1
448944	16	3
458402	2	1
462721	1	3
465263	15	1
466262	22	0
469028	4	2
469548	12	1
470596	4	1
471928	24	3
474949	5	1
476617	9	0
485952	0	1
492575	31	1
495772	28	3
496734	30	1
503633	17	2
506963	19	2
507510	22	2
508378	26	2
516680	8	0
519813	5	2
520658	18	2
523111	7	3
526904	24	1
527724	12	1
529081	25	0
534509	13	3
538676	20	0
539669	21	3
541422	14	3
546479	15	3
547705	25	1
548891	27	3
554519	23	1
556768	0	3
558583	23	0
559984	16	3
563495	7	2
567051	11	3
572264	8	1
576118	22	0
578532	4	0
580377	25	1
581254	6	0
587677	29	0
592299	11	0
595987	19	2
598903	23	1
601945	25	3
602746	26	2
605773	13	3
616109	13	3
617124	4	3
617726	30	2
618993	17	2
619534	14	0
623086	14	1
623507	19	1
625545	9	1
635102	30	2
636829	29	1
640347	27	0
641974	22	0
642464	0	2
644714	10	1
654969	25	1
656511	31	3
661277	29	0
665560	24	3
666183	7	2
671508	20	2
671937	1	2
676644	4	1
678717	29	1
679964	28	3
680793	25	0
682039	23	3
683209	9	2
688727	23	0
695355	27	0
702426	26	0
702890	10	0
703696	16	1
705605	5	2
708990	30	3
710946	2	2
712966	6	0
713602	2	1
716166	6	1
717898	10	1
718506	10	3
721556	20	1
725342	30	2
726202	26	0
726649	25	2
730668	12	0
732933	5	0
733793	1	3
734538	10	0
735414	22	0
736190	30	0
737190	6	3
738031	15	3
740057	25	2
741790	30	2
747709	29	0
748301	13	1
754719	31	1
758508	12	1
759011	3	3
765416	8	1
767154	18	1
767711	31	2
768292	4	0
769411	3	3
771908	4	1
772501	21	2
773933	13	2
775441	17	2
776903	7	2
778875	27	1
779427	3	0
782299	27	2
790914	2	2
792549	5	1
794588	28	0
795302	6	3
798192	16	1
800718	14	3
802945	1	2
803562	10	0
804444	28	0
807032	24	0
811829	21	0
813332	20	1
816365	13	1
819811	3	2
826916	4	2
827902	30	3
828877	13	1
830462	30	2
831149	13	2
831751	7	0
838154	10	0
840401	17	2
841650	18	1
842296	24	2
845188	4	2
846982	6	2
857189	5	2
857644	12	2
860618	10	1
862222	14	3
864904	8	1
866426	26	1
869547	11	1
870990	14	0
881370	26	3
882958	14	1
883390	30	2
893761	1	2
894938	26	0
895496	8	2
898581	21	0
905288	8	2
908997	5	3
911169	1	0
913374	30	2
915847	7	0
916906	10	0
919809	1	0
921384	8	1
925717	21	0
926934	22	3
930107	27	2
932153	25	0
933811	19	3
939050	10	2
942019	3	3
943960	24	2
944950	22	3
945463	23	1
